Strategy,Revenue,Profit,UnitsSold,ROI,ElasticityK,Run
markdown,553.5539900430264,207.58274626613488,69.1942487553783,0.375,6,1
none,228.2246867620539,114.11234338102695,22.82246867620539,0.5,6,1
promotion,661.0230994397232,293.7880441954325,73.44701104885813,0.4444444444444444,6,1
markdown,483.26141987883227,181.2230324545621,60.407677484854034,0.37499999999999994,6,2
none,527.2777245881936,263.6388622940968,52.72777245881936,0.5,6,2
promotion,410.0016692727398,182.22296412121767,45.55574103030442,0.4444444444444444,6,2
markdown,641.4197027482685,240.5323885306007,80.17746284353356,0.37500000000000006,6,3
none,346.27193853552996,173.13596926776498,34.627193853552996,0.5,6,3
promotion,451.8385743005704,200.81714413358685,50.20428603339671,0.4444444444444445,6,3
markdown,421.75542098516286,158.15828286943605,52.71942762314536,0.37499999999999994,6,4
none,621.7155260069743,310.85776300348715,62.17155260069743,0.5,6,4
promotion,368.16476424490924,163.62878410884855,40.90719602721214,0.4444444444444444,6,4
markdown,456.9017060672597,171.33813977522237,57.11271325840746,0.375,6,5
none,550.8871749428886,275.4435874714443,55.088717494288865,0.5,6,5
promotion,410.00166927273983,182.2229641212177,45.555741030304425,0.4444444444444444,6,5
markdown,579.9137038545989,217.46763894547456,72.48921298182486,0.37499999999999994,6,6
none,464.31919030900616,232.15959515450308,46.431919030900616,0.5,6,6
promotion,384.89952625604144,171.0664561137962,42.76661402844905,0.4444444444444444,6,6
markdown,465.688277337784,174.63310400166898,58.211034667223,0.375,6,7
none,519.407907803295,259.7039539016475,51.94079078032949,0.5,6,7
promotion,435.1038122894382,193.3794721286392,48.3448680321598,0.4444444444444444,6,7
markdown,465.688277337784,174.633104001669,58.211034667223,0.37500000000000006,6,8
none,456.4493735241078,228.2246867620539,45.64493735241078,0.5,6,8
promotion,502.042860333967,223.13016014842978,55.782540037107445,0.4444444444444445,6,8
markdown,641.4197027482684,240.53238853060066,80.17746284353355,0.375,6,9
none,393.4908392449205,196.74541962246025,39.34908392449205,0.5,6,9
promotion,401.6342882671737,178.50412811874386,44.626032029685966,0.4444444444444444,6,9
markdown,518.4077049609293,194.4028893603485,64.80096312011617,0.375,6,10
none,582.3664420824822,291.1832210412411,58.23664420824822,0.5,6,10
promotion,317.9604782115125,141.31576809400556,35.32894202350139,0.4444444444444445,6,10
markdown,254.8105668452027,95.55396256695101,31.851320855650336,0.37500000000000006,6,11
none,668.9344267163648,334.4672133581824,66.89344267163648,0.5,6,11
promotion,476.94071731726865,211.97365214100827,52.99341303525207,0.4444444444444444,6,11
markdown,606.2734176661716,227.35253162481433,75.78417720827144,0.375,6,12
none,424.9701063845141,212.48505319225706,42.497010638451414,0.5,6,12
promotion,401.6342882671737,178.50412811874386,44.626032029685966,0.4444444444444444,6,12
markdown,702.9257016419378,263.5971381157267,87.86571270524223,0.375,6,13
none,519.4079078032951,259.70395390164754,51.94079078032951,0.5,6,13
promotion,209.18452513915304,92.97090006184578,23.242725015461446,0.44444444444444436,6,13
markdown,369.0359933620175,138.38849751075654,46.12949917025219,0.37499999999999994,6,14
none,653.194793146568,326.597396573284,65.3194793146568,0.5,6,14
promotion,384.89952625604144,171.0664561137962,42.76661402844905,0.4444444444444444,6,14
markdown,658.9928452893168,247.1223169834938,82.3741056611646,0.37499999999999994,6,15
none,346.27193853553007,173.13596926776503,34.627193853553,0.5,6,15
promotion,435.1038122894382,193.3794721286392,48.3448680321598,0.4444444444444444,6,15
markdown,386.609135903066,144.97842596364973,48.32614198788325,0.37499999999999994,6,16
none,322.6624881808348,161.3312440904174,32.26624881808348,0.5,6,16
promotion,719.5947664786861,319.81989621274937,79.95497405318734,0.4444444444444444,6,16
markdown,746.8585579945591,280.0719592479597,93.35731974931988,0.37500000000000006,6,17
none,291.1832210412411,145.59161052062055,29.11832210412411,0.5,6,17
promotion,410.00166927273983,182.2229641212177,45.555741030304425,0.4444444444444444,6,17
markdown,553.5539900430264,207.58274626613488,69.1942487553783,0.375,6,18
none,267.57377068654586,133.78688534327293,26.757377068654588,0.5,6,18
promotion,619.1861944118926,275.1938641830634,68.79846604576585,0.4444444444444444,6,18
markdown,544.7674187725021,204.28778203968827,68.09592734656276,0.375,6,19
none,440.709739954311,220.3548699771555,44.070973995431096,0.5,6,19
promotion,443.4711932950042,197.09830813111296,49.27457703277824,0.4444444444444444,6,19
markdown,808.3645568882288,303.1367088330858,101.0455696110286,0.375,6,20
none,306.92285461103796,153.46142730551898,30.692285461103797,0.5,6,20
promotion,334.6952402226447,148.7534400989532,37.1883600247383,0.4444444444444444,6,20
markdown,421.7554209851628,158.15828286943605,52.71942762314535,0.375,6,21
none,574.4966252975839,287.24831264879197,57.44966252975839,0.5,6,21
promotion,418.36905027830585,185.94180012369148,46.48545003092287,0.4444444444444444,6,21
markdown,615.0599889366958,230.64749585126094,76.88249861708698,0.375,6,22
